valid_time,u100,v100,u10,v10,d2m,t2m,latitude,longitude
2025-01-02 23:00:00,-3.9514618,-0.9466553,-2.2144623,-0.5600891,289.43726,290.46124,13.0,77.5
2025-01-03 00:00:00,-3.4492035,-1.4711761,-2.2639465,-0.94770813,290.12537,292.115,13.0,77.5
2025-01-03 01:00:00,-3.2649994,-1.8303833,-2.0870361,-1.1750641,289.71356,292.23517,13.0,77.5
2025-01-03 02:00:00,-3.4584198,-1.9855652,-2.3328857,-1.333435,288.9764,291.74573,13.0,77.5
2025-01-03 03:00:00,-3.8443909,-2.404251,-2.7792969,-1.7627716,287.84546,291.16272,13.0,77.5
2025-01-03 04:00:00,-4.1821594,-2.5417938,-3.1033478,-1.9049072,286.66696,291.85434,13.0,77.5
2025-01-03 05:00:00,-5.055023,-2.409378,-3.784546,-1.8256531,286.72293,295.01416,13.0,77.5
2025-01-03 06:00:00,-5.69783,-2.0188904,-4.290436,-1.5137177,286.31616,296.91425,13.0,77.5
2025-01-03 07:00:00,-5.9217987,-1.5829315,-4.4697876,-1.1708374,286.4279,297.54477,13.0,77.5
2025-01-03 08:00:00,-5.9961853,-1.0727234,-4.5221252,-0.7725067,285.91626,298.9944,13.0,77.5
2025-01-03 09:00:00,-5.9463196,-0.61013794,-4.4656982,-0.41641235,285.74365,299.37732,13.0,77.5
2025-01-03 10:00:00,-6.0882874,-0.4079895,-4.5027924,-0.28753662,286.5697,298.21338,13.0,77.5
2025-01-03 11:00:00,-5.8722687,-0.8347168,-4.1874847,-0.5896759,286.8961,297.9112,13.0,77.5
2025-01-03 12:00:00,-5.5549774,-0.87202454,-3.014145,-0.46565247,287.30914,296.98602,13.0,77.5
2025-01-03 13:00:00,-6.025299,-0.66067505,-2.5886536,-0.30393982,287.6452,296.37585,13.0,77.5
2025-01-03 14:00:00,-6.204117,-0.24377441,-2.62677,-0.16470337,287.94653,295.2657,13.0,77.5
2025-01-03 15:00:00,-6.1208496,0.07305908,-2.5619354,-0.057113647,287.94702,292.93732,13.0,77.5
2025-01-03 16:00:00,-5.756714,0.47717285,-2.3022156,0.08641052,288.17688,292.55988,13.0,77.5
2025-01-03 17:00:00,-5.335022,0.68382263,-2.0884552,0.10305786,288.18793,291.03802,13.0,77.5
2025-01-03 18:00:00,-4.9138184,0.75935364,-1.9038239,0.0690918,288.4309,290.58572,13.0,77.5
2025-01-03 19:00:00,-4.5811462,0.74024963,-1.8285065,-0.013977051,288.2642,290.05234,13.0,77.5
2025-01-03 20:00:00,-4.261017,0.62028503,-1.8128204,-0.13920593,287.7444,288.89874,13.0,77.5
2025-01-03 21:00:00,-4.0804596,0.3973236,-1.9423065,-0.29023743,287.4272,288.4591,13.0,77.5
2025-01-03 22:00:00,-4.317169,0.38908386,-1.6894531,-0.1872406,286.64203,287.3122,13.0,77.5
2025-01-03 23:00:00,-4.232025,0.19937134,-1.801178,-0.24227905,286.72925,287.34558,13.0,77.5
2025-01-04 00:00:00,-4.0857544,0.025466919,-2.1259155,-0.17999268,287.79926,289.06946,13.0,77.5
2025-01-04 01:00:00,-3.6912994,-0.015579224,-2.6371765,-0.19903564,288.00977,289.3159,13.0,77.5
2025-01-04 02:00:00,-3.7192535,0.22111511,-2.6336823,0.04270935,287.57947,289.08542,13.0,77.5
2025-01-04 03:00:00,-3.3854218,0.62138367,-2.4657135,0.4172821,286.9999,288.83286,13.0,77.5
2025-01-04 04:00:00,-3.5349731,0.9852905,-2.6453705,0.7394867,286.27676,289.65378,13.0,77.5
2025-01-04 05:00:00,-4.1123657,1.0041656,-3.1277008,0.77789307,285.91498,292.80908,13.0,77.5
2025-01-04 06:00:00,-4.5568695,0.58332825,-3.4940338,0.46368408,285.6459,295.7752,13.0,77.5
2025-01-04 07:00:00,-4.5454254,0.13882446,-3.5058136,0.12135315,285.349,296.73978,13.0,77.5
2025-01-04 08:00:00,-4.5130615,-0.08166504,-3.481781,-0.036209106,285.20728,298.37692,13.0,77.5
2025-01-04 09:00:00,-4.4027863,-0.17973328,-3.3895721,-0.102890015,285.61258,299.0348,13.0,77.5
2025-01-04 10:00:00,-4.5271606,0.054641724,-3.4385529,0.07774353,286.57245,298.29163,13.0,77.5
2025-01-04 11:00:00,-4.506775,0.10531616,-3.3007965,0.119140625,286.63123,298.10645,13.0,77.5
2025-01-04 12:00:00,-4.0875854,0.7722168,-1.8618011,0.41555786,286.97653,297.53638,13.0,77.5
2025-01-04 13:00:00,-4.0219574,1.8798218,-1.9127045,0.9739227,287.54633,296.30548,13.0,77.5
2025-01-04 14:00:00,-4.210602,2.788498,-1.7759247,1.0316162,287.8606,295.34937,13.0,77.5
2025-01-04 15:00:00,-4.2814636,3.2093506,-1.7976837,1.0528717,287.80145,292.7973,13.0,77.5
2025-01-04 16:00:00,-4.384491,3.1877594,-1.846695,0.97639465,288.01172,292.47595,13.0,77.5
2025-01-04 17:00:00,-4.3924713,3.0156555,-1.8436127,0.89849854,288.3626,290.9876,13.0,77.5
2025-01-04 18:00:00,-4.526016,2.8347778,-1.9263153,0.82366943,288.38287,290.56262,13.0,77.5
2025-01-04 19:00:00,-4.775757,2.4502258,-2.0353851,0.62350464,288.28528,290.24487,13.0,77.5
2025-01-04 20:00:00,-4.6905365,1.6362762,-1.9144135,0.20037842,288.04865,289.2657,13.0,77.5
2025-01-04 21:00:00,-4.625229,0.907959,-1.8409424,-0.13444519,287.73413,288.73645,13.0,77.5
2025-01-04 22:00:00,-4.805359,0.82876587,-2.0299988,-0.009338379,287.39325,288.60956,13.0,77.5
2025-01-04 23:00:00,-4.7700653,0.4013977,-2.0200806,-0.12155151,287.31744,288.5122,13.0,77.5
2025-01-05 00:00:00,-4.357712,0.25491333,-1.8096008,-0.107543945,288.00598,289.53818,13.0,77.5
2025-01-05 01:00:00,-3.6559753,0.24345398,-2.2134857,0.12937927,288.10773,289.5531,13.0,77.5
2025-01-05 02:00:00,-3.115265,0.3327484,-2.3841553,0.35531616,288.69257,290.02484,13.0,77.5
2025-01-05 03:00:00,-3.0736847,0.33242798,-2.2871246,0.2445221,288.58508,289.52646,13.0,77.5
2025-01-05 04:00:00,-2.8291168,0.0786438,-2.172638,0.084869385,288.82428,290.00568,13.0,77.5
2025-01-05 05:00:00,-2.6763458,-0.43052673,-2.1012573,-0.30117798,288.64972,293.51105,13.0,77.5
2025-01-05 06:00:00,-2.5330505,-0.9029236,-2.0097961,-0.67800903,288.08093,296.4853,13.0,77.5
2025-01-05 07:00:00,-2.3390808,-1.0366211,-1.8691254,-0.7891083,287.35577,297.50735,13.0,77.5
